BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	source_name	tissue	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	ajcc_stage
SAMN02353249	SRX347927	6340	4399	SRR975591	SRS478704	GSM1228224	metastasized cancer	metastatic colorectal cancer to the liver	RNA-Seq	202	PRJNA218851	GEO	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-09-11	Homo sapiens	ILLUMINA	2014-09-03	SRP029880	Stage IV
SAMN02353276	SRX347928	4562	3216	SRR975592	SRS478705	GSM1228225	metastasized cancer	metastatic colorectal cancer to the liver	RNA-Seq	202	PRJNA218851	GEO	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-09-11	Homo sapiens	ILLUMINA	2014-09-03	SRP029880	Stage IV
SAMN02353245	SRX347929	7542	5278	SRR975593	SRS478706	GSM1228226	metastasized cancer	metastatic colorectal cancer to the liver	RNA-Seq	202	PRJNA218851	GEO	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-09-11	Homo sapiens	ILLUMINA	2014-09-03	SRP029880	Stage IV
SAMN02353248	SRX347930	4633	3267	SRR975594	SRS478707	GSM1228227	metastasized cancer	metastatic colorectal cancer to the liver	RNA-Seq	202	PRJNA218851	GEO	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-09-11	Homo sapiens	ILLUMINA	2014-09-03	SRP029880	Stage IV
SAMN02353272	SRX347931	4809	3378	SRR975595	SRS478708	GSM1228228	metastasized cancer	metastatic colorectal cancer to the liver	RNA-Seq	202	PRJNA218851	GEO	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-09-11	Homo sapiens	ILLUMINA	2014-09-03	SRP029880	Stage IV
SAMN02353263	SRX347933	5003	3496	SRR975597	SRS478709	GSM1228230	metastasized cancer	metastatic colorectal cancer to the liver	RNA-Seq	202	PRJNA218851	GEO	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-09-11	Homo sapiens	ILLUMINA	2014-09-03	SRP029880	Stage IV
SAMN02353259	SRX347932	5258	3676	SRR975596	SRS478710	GSM1228229	metastasized cancer	metastatic colorectal cancer to the liver	RNA-Seq	202	PRJNA218851	GEO	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-09-11	Homo sapiens	ILLUMINA	2014-09-03	SRP029880	Stage IV
SAMN02353279	SRX347934	5463	3804	SRR975598	SRS478711	GSM1228231	metastasized cancer	metastatic colorectal cancer to the liver	RNA-Seq	202	PRJNA218851	GEO	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-09-11	Homo sapiens	ILLUMINA	2014-09-03	SRP029880	Stage IV
SAMN02353280	SRX347935	5695	3996	SRR975599	SRS478712	GSM1228232	metastasized cancer	metastatic colorectal cancer to the liver	RNA-Seq	202	PRJNA218851	GEO	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-09-11	Homo sapiens	ILLUMINA	2014-09-03	SRP029880	Stage IV
SAMN02353282	SRX347936	5336	3716	SRR975600	SRS478713	GSM1228233	metastasized cancer	metastatic colorectal cancer to the liver	RNA-Seq	202	PRJNA218851	GEO	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-09-11	Homo sapiens	ILLUMINA	2014-09-03	SRP029880	Stage IV
SAMN02353284	SRX347937	5872	4081	SRR975601	SRS478714	GSM1228234	metastasized cancer	metastatic colorectal cancer to the liver	RNA-Seq	202	PRJNA218851	GEO	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-09-11	Homo sapiens	ILLUMINA	2014-09-03	SRP029880	Stage IV
SAMN02353281	SRX347938	5078	3570	SRR975602	SRS478715	GSM1228235	metastasized cancer	metastatic colorectal cancer to the liver	RNA-Seq	202	PRJNA218851	GEO	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-09-11	Homo sapiens	ILLUMINA	2014-09-03	SRP029880	Stage IV
SAMN02353283	SRX347939	8137	5742	SRR975603	SRS478716	GSM1228236	metastasized cancer	metastatic colorectal cancer to the liver	RNA-Seq	202	PRJNA218851	GEO	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-09-11	Homo sapiens	ILLUMINA	2014-09-03	SRP029880	Stage IV
SAMN02353285	SRX347940	7593	5300	SRR975604	SRS478717	GSM1228237	metastasized cancer	metastatic colorectal cancer to the liver	RNA-Seq	202	PRJNA218851	GEO	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-09-11	Homo sapiens	ILLUMINA	2014-09-03	SRP029880	Stage IV
